be,en,ru,tr
У гэты час сталіца была перанесена [???].,At this time the capital was moved to [???].,В это время столица была перенесена [???].,Bu sırada başkent [???] taşındı.
"Мушэры з усяго свету прыязджаюць [???] кожны сакавік, каб пазмагацца за грошы, прызы і прэстыж.","Mushers from all over the world come to [???] each March to compete for cash, prizes, and prestige.","Гонщики со всего мира приезжают [???] каждый март, чтобы побороться за деньги, призы и престиж.","Dünyanın her yerinden lapacılar her Mart ayında nakit para, ödüller ve prestij için yarışmak üzere [???] gelir."
"Падчас вайны трое эвакуіраваліся [???], дзе жылі з бабуляй па лініі маці.","During the war, the three evacuated to [???], living with his maternal grandmother.","Во время войны все трое эвакуировались [???], живя с бабушкой по материнской линии.","Savaş sırasında üçü, anneannesinin yanında yaşayarak [???] tahliye edildi."
"Ён падаў у адстаўку ў 1834 годзе, каб вярнуцца [???], каб даглядаць за сваёй паміраючай жонкай, якая праз два гады памерла ад туберкулёзу.","He resigned his commission in 1834 to return to [???] to care for his dying wife, who succumbed two years later to tuberculosis.","Он ушел в отставку в 1834 году, чтобы вернуться [???], чтобы заботиться о своей умирающей жене, которая два года спустя скончалась от туберкулеза.",İki yıl sonra tüberküloza yenik düşen ölmekte olan karısına bakmak için [???] dönmek üzere 1834'te görevinden istifa etti.
Рэлігійная свабода вярнулася [???] пасля змены рэжыму ў 1992 годзе.,Religious freedom has returned to [???] since the regime's change in 1992.,Свобода вероисповедания вернулась [???] после смены режима в 1992 году.,1992'de rejim değişikliğinden bu yana [???] din özgürlüğü geri döndü.
"З 1991 года некалькі тысяч студэнтаў з 21 краіны прыехалі [???], каб вучыцца і ўдзельнічаць у раскопках, якія працягваюцца.","Since 1991, several thousand students from 21 countries have come to [???] to study and participate in ongoing excavations.",С 1991 года несколько тысяч студентов из 21 страны приехали [???] для обучения и участия в текущих раскопках.,1991'den beri 21 ülkeden birkaç bin öğrenci okumak ve devam eden kazılara katılmak için [???] geldi.
У канцы 1947 года ён вярнуўся [???] на год водпуску.,In late 1947 he returned to [???] for a sabbatical year.,В конце 1947 года он вернулся [???] на годичный творческий отпуск.,1947'nin sonlarında izinli bir yıl için [???] döndü.
"У 1722 годзе ён пераехаў [???], дзе прадставіў новы стыль сваіх опер.","In 1722 he moved to [???], where he introduced his operas' new style.","В 1722 году он переехал [???], где представил новый стиль своих опер.",1722'de operalarının yeni tarzını tanıttığı [???] taşındı.
"Яе бацькі, тым часам, адправіліся [???], каб выканаць афіцыйныя абавязкі.","Her parents, in the meantime, journeyed to [???] to complete official duties.",Тем временем ее родители уехали [???] для выполнения официальных обязанностей.,"Bu arada ailesi, resmi görevlerini tamamlamak için [???] gitti."
"Яны параілі яму не ехаць [???] з-за ўмоў надвор'я, але ўсё роўна паехаў.","He was advised by them not to make the journey over to [???] because of weather conditions, but travelled anyway.","Они посоветовали ему не ехать [???] из-за погодных условий, но он все равно поехал.","Hava koşulları nedeniyle [???] gitmemesi tavsiye edildi, ancak yine de seyahat etti."
Імператар вярнуўся [???] і адсвяткаваў трыумф у 233 годзе.,The emperor returned to [???] and celebrated a triumph in 233.,Император вернулся [???] и отпраздновал триумф в 233 году.,İmparator [???] döndü ve 233'te bir zaferi kutladı.
Ён быў абвінавачаны ў парушэнні ўсталяванай рэлігіі і быў вымушаны бегчы [???].,He was accused of contravening the established religion and was forced to flee to [???].,Его обвинили в нарушении установленной религии и заставили бежать [???].,Yerleşik dine aykırı olmakla suçlandı ve [???] kaçmak zorunda kaldı.
"Ён займаўся камерцыяй і вярнуўся [???] у адпаведнасці з агульнай амністыяй, якая адбылася пасля аднаўлення дэмакратыі (403 г. да н. э.), і заняў некаторыя важныя пасады.","He engaged in commercial pursuits, and returned to [???] under the general amnesty that followed the restoration of the democracy( 403 BC), and filled some important offices.","Он занимался коммерческой деятельностью и вернулся [???] по всеобщей амнистии, последовавшей за восстановлением демократии (403 г. до н.э.), и занял несколько важных должностей.",Ticari uğraşlarla uğraştı ve demokrasinin yeniden tesis edilmesini (MÖ 403) izleyen genel af kapsamında [???] döndü ve bazı önemli görevlerde bulundu.
"Яны збеглі [???], але, відаць, не пажаніліся.",They eloped to [???] but apparently did not marry.,"Они сбежали [???], но, по-видимому, не поженились.",[???] kaçtılar ama görünüşe göre evlenmediler.
"Сын ганчара, які пераехаў [???] прыкладна ў 343 г. да н.э., ён навучыўся рамяству свайго бацькі, але пасля пайшоў у войска.","The son of a potter who had moved to [???] in about 343 BC, he learned his father's trade, but afterwards entered the army.","Сын гончара, который переехал [???] примерно в 343 г. до н.э., он научился ремеслу своего отца, но впоследствии поступил в армию.","MÖ 343'te [???] taşınan bir çömlekçinin oğlu, babasının ticaretini öğrendi, ancak daha sonra orduya girdi."
"Пасля некалькіх перамог ён, нарэшце, быў цалкам разбіты (307 г. да н.э.) і таемна ўцёк [???].",After several victories he was at last completely defeated( 307 BC) and fled secretly to [???].,"После нескольких побед он, наконец, потерпел полное поражение (307 г. до н.э.) и тайно бежал [???].",Birkaç zaferden sonra sonunda tamamen yenildi (MÖ 307) ve gizlice [???] kaçtı.
У рэшце рэшт 86 зняволеных былі адпраўлены [???].,Ultimately 86 of the inmates were shipped to [???].,В конечном итоге 86 заключенных были отправлены [???].,Nihayetinde mahkumlardan 86'sı [???] sevk edildi.
"У 1923 годзе ён вярнуўся [???], дзе адкрыў сваё першае архітэктурнае бюро.","In 1923 he returned to [???], where he opened his first architectural office.","В 1923 году он вернулся [???], где открыл свое первое архитектурное бюро.",1923'te ilk mimarlık ofisini açtığı [???] döndü.
Офіс зноў пераехаў у 1933 годзе [???].,The office moved again in 1933 to [???].,В 1933 году офис снова переехал [???].,Ofis 1933'te yeniden [???] taşındı.
"Па дарозе [???] яго маці памерла, як і яго сын неўзабаве пасля гэтага, пакінуўшы яго аднаго ў свеце без сям'і.","On his way back to [???] his mother died, as did his son soon after, leaving him alone in the world without family.","На обратном пути [???] его мать умерла, как и его сын вскоре после этого, оставив его одного в мире без семьи.",[???] dönerken annesi ve kısa süre sonra oğlu öldü ve onu dünyada ailesiz yalnız bıraktı.
Астатнія ўцяклі [???] і адтуль вярнуліся дадому.,The remainder escaped to [???] and thence returned home.,Остальные бежали [???] и оттуда вернулись домой.,Geri kalanı [???] kaçtı ve oradan eve döndü.
"Аднак яго талент быў заўважаны, і ў 1948 годзе ён быў заахвочаны паехаць [???].","However, his talent was noticed, and he was encouraged to go to [???] in 1948.","Однако его талант был замечен, и в 1948 году ему предложили поехать [???].",Ancak yeteneği fark edildi ve 1948'de [???] gitmesi için cesaretlendirildi.
"У раннім узросце ён вырашыў стаць мастаком і пераехаў [???] у 1881 годзе, каб вывучаць мастацтва.","He decided at an early age to become a painter, and moved to [???] in 1881 to study art.","В раннем возрасте он решил стать художником и в 1881 году переехал [???], чтобы изучать искусство.",Küçük yaşta ressam olmaya karar verdi ve 1881'de sanat okumak için [???] taşındı.
Ён адправіўся [???] і памёр там ва ўзросце амаль шасцідзесяці пяці гадоў.,"He proceeded to [???], and expired there at the age of nearly sixty-five.",Он отправился [???] и скончался там в возрасте почти шестидесяти пяти лет.,[???] gitti ve orada yaklaşık altmış beş yaşında öldü.
"Колькасць вырасла да 38 у 1968 годзе і 82 у 1969 годзе, што з'яўляецца найбольшай колькасцю за адзін год у гісторыі грамадзянскай авіяцыі; толькі ў студзені 1969 года восем авіякампаній былі захоплены [???].","The number grew to 38 in 1968 and 82 in 1969, the largest number in a single year in the history of civil aviation; in January 1969 alone, eight airlines were hijacked to [???].","Это число выросло до 38 в 1968 г. и 82 в 1969 г., что стало самым большим показателем за один год в истории гражданской авиации; только в январе 1969 года восемь авиакомпаний были угнаны [???].",Sayı 1968'de 38'e ve 1969'da 82'ye çıkarak sivil havacılık tarihinde bir yıldaki en büyük sayı oldu; yalnızca Ocak 1969'da [???] sekiz havayolu şirketi kaçırıldı.
"У 1127 годзе абезгалоўленая галава, якой не было ў першапачатковай пакупцы, была знойдзена і перавезена [???].","In 1127 the decapitated head, which was not in the original purchase was found and moved to [???].","В 1127 году отрубленная голова, которой не было в первоначальной покупке, была найдена и перевезена [???].",1127'de orijinal satın almada olmayan başı kesilmiş kafa bulundu ve [???] taşındı.
"Яны прыехалі [???], каб пазбегнуць рэлігійнага пераследу, але потым ледзь не памерлі з голаду з-за незнаёмай зямлі.","They had come to [???] to escape religious persecution, but then nearly starved to death due to the unfamiliar land.","Они приехали [???], чтобы избежать религиозных преследований, но затем чуть не умерли от голода из-за незнакомой земли.","Dini zulümden kaçmak için [???] gelmişlerdi, ancak daha sonra yabancı topraklar nedeniyle neredeyse açlıktan ölüyorlardı."
Але ў 1998 годзе ён зноў быў вымушаны бегчы [???].,But in 1998 he was forced to flee to [???] again.,Но в 1998 году он снова был вынужден бежать [???].,Ancak 1998'de tekrar [???] kaçmak zorunda kaldı.
"У 1970-х ён ужо аднойчы прыязджаў у краіну, каб працягнуць кар'еру ў кіно, але вярнуўся [???] у канцы 1980-х.","He had moved to the country once before during the 1970s to pursue his film career, but returned to [???] in the late 1980s.","Однажды в 1970-х он переезжал в деревню, чтобы продолжить свою кинокарьеру, но вернулся [???] в конце 1980-х.","1970'lerde film kariyerine devam etmek için daha önce bir kez ülkeye taşınmıştı, ancak 1980'lerin sonlarında [???] döndü."
"Ён пасылаў [???] кожны рубель, які мог пашкадаваць, разам з гумарыстычнымі лістамі, каб падняць настрой сям'і.","He sent every ruble he could spare to [???], along with humorous letters to cheer up the family.","Он отправлял каждый рубль, который мог сэкономить, [???] вместе с юмористическими письмами, чтобы подбодрить семью.",Aileyi neşelendirmek için mizahi mektuplarla birlikte toplayabildiği her rubleyi [???] gönderdi.
"Ён пакляўся пераехаць [???], як толькі там будзе праведзены водаправод.",He vowed to move to [???] as soon as a water supply was installed there.,"Он пообещал переехать [???], как только там будет проведено водоснабжение.",Orada bir su kaynağı kurulur kurulmaz [???] taşınacağına söz verdi.
20 верасня сталіца была перанесена [???].,"On September 20, the capital was moved to [???].",20 сентября столица была перенесена [???].,20 Eylül'de başkent [???] taşındı.
Прафесійны персанал набіраецца з краін-членаў і атрымлівае розныя стымулы для пераезду [???].,Professional staff are drawn from its member countries and given various incentives to relocate to [???].,Профессиональные сотрудники набираются из стран-членов и получают различные стимулы для переезда [???].,"Profesyonel personel, üye ülkelerden seçilir ve [???] taşınmaları için çeşitli teşvikler verilir."
"Сям'я пераехала [???] у 1818 годзе, дзе браты атрымалі дбайную навуковую адукацыю.",The family moved to [???] in 1818 where the brothers received a careful scientific education.,"Семья переехала [???] в 1818 году, где братья получили серьезное научное образование.","Aile, 1818'de kardeşlerin dikkatli bir bilimsel eğitim aldığı [???] taşındı."
"Акрамя таго, ранейшыя эмігранты вярталіся [???].","Furthermore, prior emigrants have been returning to [???].","Кроме того, [???] возвращаются бывшие эмигранты.","Ayrıca, önceki göçmenler [???] geri dönüyorlar."
"У 1904 годзе ён паехаў [???], каб вывучаць філасофію, але неўзабаве пакінуў вучобу і ў тым жа годзе пачаў кар'еру прафесійнага шахматыста.","In 1904, he traveled to [???] to study philosophy, but set aside his studies soon and began a career as a professional chess player that same year.","В 1904 году он поехал [???] изучать философию, но вскоре бросил учебу и в том же году начал карьеру профессионального шахматиста.","1904'te felsefe okumak için [???] gitti, ancak kısa süre sonra çalışmalarını bir kenara bıraktı ve aynı yıl profesyonel bir satranç oyuncusu olarak kariyerine başladı."
"У красавіку 1707 года ён адправіўся [???], каб прысутнічаць на ўрачыстасцях пры каралеўскім двары, і яго сустрэлі групы дваран і шляхты, якія выстраіліся ўздоўж дарогі.","In April 1707, he travelled to [???] in order to attend celebrations at the royal court, and was greeted by groups of noblemen and gentry lined along the road.","В апреле 1707 года он отправился [???], чтобы присутствовать на торжествах при королевском дворе, и его приветствовали группы дворян и дворян, выстроившиеся вдоль дороги.",Nisan 1707'de kraliyet sarayındaki kutlamalara katılmak için [???] gitti ve yol boyunca dizilmiş soylular ve seçkinler tarafından karşılandı.
5 снежня 1912 года ён адплыў назад [???].,On 5 December 1912 he set sail back to [???].,5 декабря 1912 года он отплыл обратно [???].,5 Aralık 1912'de [???] geri döndü.
"Пасля таго, як ураджай быў знойдзены, яго прывезлі [???] для ачысткі і прэсавання.","After the crop was located, it was brought to [???] to be ginned and baled.","После того, как урожай был обнаружен, его доставили [???] для очистки и прессования.","Ekin yerleştirildikten sonra, çırçırlanmak ve balyalanmak üzere [???] getirildi."
У 1968 годзе яны прыехалі [???].,"In 1968, they came to [???].",В 1968 году они приехали [???].,1968'de [???] geldiler.
Тавар быў адпраўлены [???] у асноўным з-за блізкасці вострава.,The goods were sent to [???] largely due to the proximity of the island.,Товар был отправлен [???] во многом из-за близости острова.,Mallar büyük ölçüde adanın yakınlığı nedeniyle [???] gönderildi.
"Паведамляецца, што яго астанкі былі знойдзены ў 361 годзе і перавезены [???].","His remains were reportedly discovered in 361, and transferred to [???].","Сообщается, что его останки были обнаружены в 361 году и перевезены [???].",Kalıntılarının 361'de bulunduğu ve [???] nakledildiği bildirildi.
"Калі старэйшае пакаленне выйшла на пенсію, многія пераехалі [???].","As the older generation retired, many moved to [???].","Когда старшее поколение ушло на пенсию, многие переехали [???].","Eski nesil emekli olurken, birçoğu [???] taşındı."
Мерапрыемства зноў вярнулася [???] у 2008 і 2009 гадах.,The event returned to [???] again in 2008 and 2009.,Мероприятие снова вернулось [???] в 2008 и 2009 годах.,Olay 2008 ve 2009'da tekrar [???] döndü.
"У 1943 годзе, будучы 17-гадовым юнаком, яго і 39 іншых байцоў супраціву адправілі [???], дзе яны працавалі з небяспечнымі хімікатамі, некаторыя памерлі на працягу некалькіх месяцаў, і толькі чацвёра з групы былі жывыя па стане на май 2009 года. .","In 1943, as a 17-year-old, he and 39 other resistance fighters were sent to [???] where they worked with dangerous chemicals, some dying within a few months, and only four of the group were still alive as of May 2009.","В 1943 году, когда ему было 17 лет, он и 39 других бойцов сопротивления были отправлены [???], где они работали с опасными химическими веществами, некоторые из них умерли в течение нескольких месяцев, и только четверо из группы были еще живы по состоянию на май 2009 года. .","1943'te, 17 yaşındayken, o ve diğer 39 direniş savaşçısı, tehlikeli kimyasallarla çalıştıkları [???] gönderildi, bazıları birkaç ay içinde öldü ve Mayıs 2009 itibariyle gruptan sadece dördü hala hayattaydı. ."
"Яго цела было прывезена [???] і адкрыта выстаўлена ў царкве, каб паказаць яго смерць.",His body was brought to [???] and openly exhibited in a church to show his death.,"Его тело было доставлено [???] и открыто выставлено в церкви, чтобы показать его смерть.",Cesedi [???] getirildi ve ölümünü göstermek için bir kilisede açıkça sergilendi.
"Гэтую гульню адстаўныя афіцэры вярнулі [???], дзе яна распрацавала і выклала правілы.",This game was taken by retired officers back to [???] where it developed and rules were set out.,"Эта игра была доставлена ​​отставными офицерами обратно [???], где она была разработана и установлены правила.",Bu oyun emekli subaylar tarafından geliştirildiği ve kuralların belirlendiği [???] götürüldü.
"У рэшце рэшт грамадская думка прымусіла яе вярнуцца [???], хоць нават тады яна аддавала перавагу жыць у іншым месцы, калі гэта было магчыма.","Eventually, public opinion forced her to return to [???], though even then she preferred to live elsewhere whenever possible.","В конце концов, общественное мнение вынудило ее вернуться [???], хотя даже тогда она предпочитала жить в другом месте, когда это было возможно.","Sonunda, kamuoyu onu [???] dönmeye zorladı, ancak o zaman bile mümkün olduğunda başka bir yerde yaşamayı tercih etti."
"Раззброеныя салдаты рушылі на захад [???] у пастаяннае дрэннае надвор'е, пастаянна падвяргаючыся рабаванню і пагрозам мясцовых жыхароў.","The disarmed soldiers marched westward to [???] in continuing bad weather, being continually robbed and threatened by local people.","Разоруженные солдаты двинулись на запад [???] в продолжающуюся плохую погоду, постоянно подвергаясь грабежам и угрозам со стороны местных жителей.","Silahsız askerler, sürekli olarak yerel halk tarafından soyulup tehdit edilerek, devam eden kötü hava koşullarında batıya [???] yürüdü."
"Яна змяніла кар'еру і паехала [???], каб працаваць памочнікам прадзюсара на тэлебачанні і ў кіно.",She switched careers and went to [???] to work as an assistant producer for television and movies.,"Она сменила карьеру и уехала [???], чтобы работать помощником продюсера на телевидении и в кино.",Kariyerini değiştirdi ve televizyon ve filmlerde yardımcı yapımcı olarak çalışmak üzere [???] gitti.
"Мадэлі і ўдзельніцы конкурсаў прыгажосці, акцёры тэлебачання, тэатра і нават простыя людзі прыязджаюць [???] з надзеяй і марай стаць зоркай.","Models and beauty contestants, television actors, theatre actors and even common people come to [???] with the hope and dream of becoming a star.","Модели и конкурсанты красоты, телевизионные и театральные актеры и даже простые люди приезжают [???] с надеждой и мечтой стать звездой.","Modeller ve güzellik yarışmacıları, televizyon oyuncuları, tiyatro oyuncuları ve hatta sıradan insanlar bir yıldız olma umudu ve hayaliyle [???] geliyor."
Затым ён дэпартуе скарбы храма і насельніцтва (за выключэннем некаторых з бедных) [???].,He then deports the treasures of the temple and the population( excepting some of the poor) to [???].,Затем он депортирует сокровища храма и население (за исключением некоторых бедняков) [???].,Daha sonra tapınağın hazinelerini ve (fakirlerin bir kısmı hariç) halkı [???] sürer.
"У 1936 годзе ён паехаў [???], каб збіраць і вывучаць народную музыку.",In 1936 he travelled to [???] to collect and study folk music.,"В 1936 году он поехал [???], чтобы собирать и изучать народную музыку.",1936'da halk müziği toplamak ve çalışmak için [???] gitti.
Затым ён вярнуўся [???].,He then returned to [???].,Затем он вернулся [???].,Daha sonra [???] döndü.
Да канца 19-га стагоддзя [???] сцякаліся кваліфікаваныя рабочыя і спецыялісты.,By the end of the 19th century skilled workers and specialists flocked to [???].,К концу 19 века [???] устремились квалифицированные рабочие и специалисты.,19. yüzyılın sonunda vasıflı işçiler ve uzmanlar [???] akın etti.
Яе першапачатковае рашэнне не вяртацца [???] або аплакваць больш публічна выклікала ў той час вялікую крытыку.,Her initial decision not to return to [???] or to mourn more publicly was much criticised at the time.,Ее первоначальное решение не возвращаться [???] и не оплакивать более публично в то время подверглось резкой критике.,"[???] dönmeme veya daha alenen yas tutmama konusundaki ilk kararı, o zamanlar çok eleştirildi."
Пасля яе смерці ён пераехаў [???] і працягваў працаваць капялюшнікам.,"Following her death, he moved to [???], and continued working as a hatter.",После ее смерти он переехал [???] и продолжил работать шляпником.,Onun ölümünün ardından [???] taşındı ve şapkacı olarak çalışmaya devam etti.
"Сёмы забойца збег [???], дзе быў арыштаваны.",The seventh assassin escaped to [???] where he was arrested.,"Седьмой убийца сбежал [???], где был арестован.",Yedinci suikastçı tutuklandığı [???] kaçtı.
"Сучаснасць хутка прыйшла [???], несумненна, дзякуючы ўплыву універсітэта.","The modern age came quickly to [???], no doubt due to the influence of the university.","Современная эпоха пришла [???] быстро, без сомнения, благодаря влиянию университета.","Modern çağ, şüphesiz üniversitenin etkisiyle [???] hızla geldi."
"Затым ён пераехаў [???], дзе ў яго была чарада выпадковых працоўных месцаў, у тым ліку карыбой і выратавальнікам.","He then moved to [???], where he had a string of odd jobs that included bellhop and lifeguard.","Затем он переехал [???], где у него была череда случайных подработок, включая посыльного и спасателя.",Daha sonra [???] taşındı ve burada belboyluk ve cankurtaranlık gibi bir dizi tuhaf işte çalıştı.
"Хаця няма канкрэтных доказаў таго, як ён вярнуўся [???], большасць гісторыкаў лічаць, што ён альбо ўцёк, альбо за яго быў заплачаны выкуп.","While there is no concrete evidence as to how he returned to [???], most historians believe he either escaped or his ransom was paid.","Хотя нет конкретных доказательств того, как он вернулся [???], большинство историков считают, что он либо сбежал, либо за него был уплачен выкуп.","[???] nasıl döndüğüne dair somut bir kanıt bulunmamakla birlikte, çoğu tarihçi onun ya kaçtığı ya da fidyesinin ödendiğine inanıyor."
"Мір таксама павялічыў колькасць турыстаў, якія прыязджаюць [???].",Peace has also boosted the numbers of tourists coming to [???].,"Мир также увеличил количество туристов, приезжающих [???].","Barış, [???] gelen turist sayısını da artırdı."
"Пасля ён адправіўся [???], дзе атрымаў інструкцыі па аналізе.",Subsequently he traveled to [???] where he received instructions in assaying.,"Впоследствии он отправился [???], где получил инструкции по анализу.",Daha sonra tahlil talimatlarını aldığı [???] gitti.
"Затым ён вярнуўся [???], прывёзшы з сабой шмат узораў рэдкіх раслін.","He then returned to [???], bringing with him many specimens of rare plants.","Затем он вернулся [???], привезя с собой множество образцов редких растений.","Daha sonra, beraberinde pek çok nadir bitki örneği getirerek [???] döndü."
"Затым ён правёў восеньскае паляванне, перш чым вярнуцца [???] 1 лістапада.",He then spent the autumn hunting before returning to [???] on 1 November.,"Затем он провел осеннюю охоту, прежде чем вернуться [???] 1 ноября.",Daha sonra 1 Kasım'da [???] dönmeden önce sonbahar avını geçirdi.
Людзі мігравалі [???] хуткімі тэмпамі.,People migrated to [???] at fast pace.,Люди мигрировали [???] быстрыми темпами.,İnsanlar hızlı bir şekilde [???] göç etti.
"Каб вярнуцца [???] на ўсход супраць гэтага пераважнага ветру, спатрэбілася б некалькі месяцаў цяжкай тэхнікі плавання, званай біццём, падчас якой ежа і пітная вада былі б цалкам вычарпаныя.","To return to [???] eastward against this prevailing wind would have required several months of an arduous sailing technique, called beating, during which food and drinkable water would have been utterly exhausted.","Чтобы вернуться [???] на восток против этого преобладающего ветра, потребовалось бы несколько месяцев тяжелой техники плавания, называемой избиением, во время которой пища и питьевая вода были бы полностью истощены.","[???] bu hakim rüzgara karşı doğuya dönmek için, yiyecek ve içilebilir suyun tamamen tükeneceği, dayak adı verilen birkaç ay zorlu bir yelken tekniği gerekecekti."
"Яго адправілі назад [???], каб аднавіцца, і ён правёў большую частку 1917 года, трэніруючы салдат.","He was sent back to [???] to recover, and spent most of 1917 training soldiers.","Его отправили обратно [???] для выздоровления, и большую часть 1917 года он провел в обучении солдат.",İyileşmesi için [???] geri gönderildi ve 1917'nin çoğunu askerleri eğitmekle geçirdi.
"Ён адправіўся [???] у 1858 годзе, каб паспрабаваць атрымаць імперскую падтрымку для гэтага праекта.",He traveled to [???] in 1858 to attempt to secure imperial backing for this project.,"Он отправился [???] в 1858 году, чтобы попытаться заручиться имперской поддержкой этого проекта.",1858'de bu proje için emperyal desteği güvence altına almak üzere [???] gitti.
За гэты час [???] сцякаюцца сотні тысяч наведвальнікаў.,Hundreds of thousands of visitors flock to [???] during this time.,За это время [???] стекаются сотни тысяч посетителей.,Bu süre zarfında yüzbinlerce ziyaretçi [???] akın ediyor.
У кастрычніку ці лістападзе 1871 г. ён вярнуўся [???].,"In October or November 1871, he returned to [???].",В октябре или ноябре 1871 года он вернулся [???].,Ekim veya Kasım 1871'de [???] döndü.
"У 13 гадоў ён паехаў [???], дзе некалькі гадоў працаваў у прадуктовай краме.","At 13 he went to [???], where he worked at a grocery store for several years.","В 13 лет он уехал [???], где несколько лет работал в продуктовом магазине.",13 yaşında [???] gitti ve burada bir bakkalda birkaç yıl çalıştı.
"Калі шэрыф вярнуўся [???], была сабрана сіла, якая складаецца з некалькіх сотняў узброеных людзей; у гэты калектыў, як паведамляецца, уваходзіў духавы аркестр.","When the sheriff returned to [???], a force consisting of several hundred armed men was assembled; this group reportedly included a brass band.","Когда шериф вернулся [???], был собран отряд из нескольких сотен вооруженных людей; Сообщается, что в эту группу входил духовой оркестр.","Şerif [???] döndüğünde, birkaç yüz silahlı adamdan oluşan bir kuvvet toplandı; bu grubun bir bando içerdiği bildirildi."
"Сілы шэрыфа, некаторыя з якіх, магчыма, былі ў стане алкагольнага ап'янення, адправіліся назад [???], каб канфіскаваць пакінутыя запісы.","The Sheriff's force, some of whom may have been intoxicated, traveled back to [???] to seize the remaining records.","Силы шерифа, некоторые из которых, возможно, были в состоянии алкогольного опьянения, вернулись [???], чтобы изъять оставшиеся записи.","Bazıları sarhoş olabilecek Şerifin kuvveti, kalan kayıtları ele geçirmek için [???] geri döndü."
Затым яго перавезлі [???] і дапыталі.,"He was then moved to [???], and interrogated.",Затем его перевезли [???] и допросили.,Daha sonra [???] taşındı ve sorguya çekildi.
Ён быў вернуты [???] з дапамогай наймітаў у 1920 годзе.,He was restored to [???] with mercenary help in 1920.,Он был возвращен [???] с помощью наемников в 1920 году.,1920'de paralı askerlerin yardımıyla [???] iade edildi.
"Ён вярнуўся [???], каб чакаць нараджэння свайго першага дзіцяці, і адзначыў, што яму патрабуецца больш часу з сям'ёй.",He flew back to [???] to await the birth of his first child and indicated he required more time with his family.,"Он прилетел обратно [???], чтобы дождаться рождения своего первого ребенка, и указал, что ему нужно больше времени со своей семьей.",İlk çocuğunun doğumunu beklemek için [???] uçtu ve ailesiyle daha fazla zamana ihtiyacı olduğunu belirtti.
