ru,en,pl,be,uk,bg,cs,ca,es,tr,sl
Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air Liquide,Air liquide,Air liquide
Лига арабских государств,Arab League,Liga Państw Arabskich,Ліга арабскіх дзяржаў,Ліга арабських держав,Лига на арабските държави,Liga arabských států,Lliga Àrab,Liga Árabe,Arap Birliği,Arabska liga
Трудовая партия Кореи,Workers' Party of Korea,Partia Pracy Korei,Працоўная партыя Карэі,Трудова партія Кореї,Корейска работническа партия,Korejská strana práce,Partit del Treball de Corea,Partido del Trabajo de Corea,Kore İşçi Partisi,Delavska partija Koreje
Фрайбург ,SC Freiburg,SC Freiburg,ФК Фрайбург,Фрайбург ,ШК Фрайбург,SC Freiburg,Sport-Club Freiburg,SC Friburgo,SC Freiburg,SC Freiburg
American Broadcasting Company,American Broadcasting Company,American Broadcasting Company,ABC ,American Broadcasting Company,Ей Би Си,American Broadcasting Company,American Broadcasting Company,American Broadcasting Company,American Broadcasting Company,American Broadcasting Company
Европейский суд по правам человека,European Court of Human Rights,Europejski Trybunał Praw Człowieka,Еўрапейскі суд па правах чалавека,Європейський суд з прав людини,Европейски съд по правата на човека,Evropský soud pro lidská práva,Tribunal Europeu de Drets Humans,Tribunal Europeo de Derechos Humanos,Avrupa İnsan Hakları Mahkemesi,Evropsko sodišče za človekove pravice
Бенфика ,S.L. Benfica,SL Benfica,ФК Бенфіка Лісабон,Бенфіка ,ФК „Бенфика“,Benfica Lisabon,Sport Lisboa e Benfica,Sport Lisboa e Benfica,SL Benfica,Sport Lisboa e Benfica
АПОЭЛ ,APOEL FC,APOEL FC,ФК АПОЭЛ,АПОЕЛ ,ФК АПОЕЛ,APOEL FC,APOEL FC Nicòsia,APOEL de Nicosia,APOEL ,APOEL F.C.
Даллас Маверикс,Dallas Mavericks,Dallas Mavericks,Далас Маверыкс,Даллас Маверікс,Далас Маверикс,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks,Dallas Mavericks
Днепр ,FC Dnipro,FK Dnipro,ФК Дняпро Дніпро,Дніпро ,ФК Днипро,FK Dnipro,FC Dniprò,FC Dnipró,FK Dnipro,FK Dnipro
Всемирный фонд дикой природы,World Wide Fund for Nature,World Wide Fund for Nature,Сусветны фонд дзікай прыроды,Всесвітній фонд дикої природи,Световен фонд за природата,Světový fond na ochranu přírody,Fons Mundial per la Natura,Fondo Mundial para la Naturaleza,Dünya Doğayı Koruma Vakfı,Svetovni sklad za naravo
Завод имени Лихачёва,ZiL,ZiŁ,Завод імя Ліхачова,Автомобільний завод ім. І. О. Лихачова,ЗИЛ,ZIL,ZiL,ZIL,ZiL,ZiL
Северный совет,Nordic Council,Rada Nordycka,Паўночны савет,Північна рада,Северен съвет,Severská rada,Consell Nòrdic,Consejo Nórdico,İskandinav Kurulu,Nordijski svet
BirdLife International,BirdLife International,BirdLife International,BirdLife International,BirdLife International,Бърдлайф Интернешънъл,BirdLife International,BirdLife International,BirdLife International,BirdLife International,BirdLife International
Apple,Apple Inc.,Apple ,Apple,Apple Inc.,Епъл,Apple,Apple Inc,Apple,Apple,Apple Inc.
Висла ,Wisła Kraków,Wisła Kraków ,ФК Вісла Кракаў,Вісла ,ФК Висла ,Wisla Krakov,Wisla Cracòvia SA,Wisła Cracovia,Wisła Kraków,Wisła Kraków
Байер 04 ,Bayer 04 Leverkusen,Bayer 04 Leverkusen,ФК Баер 04 Леверкузен,Баєр 04,ФК Байер ,Bayer 04 Leverkusen,Bayer 04 Leverkusen Fußball GmbH,Bayer Leverkusen,Bayer 04 Leverkusen,Bayer 04 Leverkusen
Андерлехт ,R.S.C. Anderlecht,RSC Anderlecht,ФК Андэрлехт,Андерлехт ,РСК Андерлехт,RSC Anderlecht,Royal Sporting Club Anderlecht,Royal Sporting Club Anderlecht,RSC Anderlecht,R.S.C. Anderlecht
Международный союз охраны природы,International Union for Conservation of Nature,Międzynarodowa Unia Ochrony Przyrody,Міжнародны саюз аховы прыроды,Міжнародний союз охорони природи,Международен съюз за защита на природата,Mezinárodní svaz ochrany přírody,Unió Internacional per a la Conservació de la Natura,Unión Internacional para la Conservación de la Naturaleza,Dünya Doğa ve Doğal Kaynakları Koruma Birliği,Svetovna zveza za varstvo narave
Всесоюзный ленинский коммунистический союз молодёжи,Komsomol,Komsomoł,Камсамол,Комсомол,Комсомол,Komsomol,Komsomol,Komsomol,Komsomol,Komsomol
Capitol Records,Capitol Records,Capitol Records,Capitol Records,Capitol Records,Кепитъл Рекърдс,Capitol Records,Capitol Records,Capitol Records,Capitol Records,Capitol Records
Международная морская организация,International Maritime Organization,Międzynarodowa Organizacja Morska,Міжнародная марская арганізацыя,Міжнародна морська організація,Международна морска организация,Mezinárodní námořní organizace,Organització Marítima Internacional,Organización Marítima Internacional,Uluslararası Denizcilik Örgütü,Mednarodna pomorska organizacija
Монако ,AS Monaco FC,AS Monaco FC,ФК Манака,Монако ,АС Монако,AS Monaco FC,Association Sportive de Monaco Football Club,Association Sportive de Monaco Football Club,AS Monaco FC,A.S. Monaco
Daihatsu,Daihatsu,Daihatsu,Daihatsu,Daihatsu,Дайхацу,Daihatsu,Daihatsu,Daihatsu,Daihatsu,Daihatsu
Международная организация по стандартизации,International Organization for Standardization,Międzynarodowa Organizacja Normalizacyjna,ISO,Міжнародна організація зі стандартизації,Международна организация по стандартизация,Mezinárodní organizace pro normalizaci,Organització Internacional per a l'Estandardització,Organización Internacional de Normalización,ISO,Mednarodna organizacija za standardizacijo
Burger King,Burger King,Burger King,Burger King,Burger King,Burger King,Burger King,Burger King,Burger King,Burger King,Burger King
Неа Саламина ,Nea Salamis Famagusta FC,Nea Salamina Famagusta,ФК Неа Саламіна Фамагуста,Неа Саламіна Фамагуста ,Неа Саламис Фамагуста,Nea Salamis Famagusta FC,Secció de futbol del Nea Salamis Famagusta,Nea Salamina Famagusta de Fútbol,AS Nea Salamis Ammohostu,Nea Salamis Famagusta FC
ЮНИСЕФ,UNICEF,Fundusz Narodów Zjednoczonych na rzecz Dzieci,Дзіцячы фонд ААН,ЮНІСЕФ,УНИЦЕФ,Dětský fond Organizace spojených národů,Fons de les Nacions Unides per a la Infància,Unicef,UNICEF,Sklad Združenih narodov za otroke
Бока Хуниорс,Boca Juniors,CA Boca Juniors,ФК Бока Хуніярс,Бока Хуніорс,ФК Бока Хуниорс,CA Boca Juniors,Club Atlético Boca Juniors,Club Atlético Boca Juniors,CA Boca Juniors,Boca Juniors
Музей Орсе,Musée d'Orsay,Musée d’Orsay,Музей Арсэ,Музей д'Орсе,Музей Орсе,Muzeum Orsay,Museu d'Orsay,Museo de Orsay,Orsay Müzesi,Musée d'Orsay
Аврора ,Russian cruiser Aurora,Aurora ,Аўрора ,Аврора ,Аврора ,Aurora ,Aurora ,Aurora ,Avrora ,Križarka Avrora
Intel,Intel,Intel,Intel,Intel,Интел,Intel,Intel,Intel,Intel,Intel
Лаборатория реактивного движения,Jet Propulsion Laboratory,Jet Propulsion Laboratory,Лабараторыя рэактыўнага руху,Лабораторія реактивного руху,Лаборатория за реактивно движение,Jet Propulsion Laboratory,Jet Propulsion Laboratory,Laboratorio de Propulsión a Reacción,Jet İtki Laboratuvarı,Laboratorij za reaktivni pogon
Организация стран — экспортёров нефти,OPEC,OPEC,АПЕК,ОПЕК,Организация на страните износителки на петрол,Organizace zemí vyvážejících ropu,Organització de Països Exportadors de Petroli,Organización de Países Exportadores de Petróleo,OPEC,Organizacija držav izvoznic nafte
АЗ ,AZ Alkmaar,AZ Alkmaar,ФК АЗ,АЗ ,АЗ Алкмар,AZ Alkmaar,AZ Alkmaar,AZ Alkmaar,AZ,AZ Alkmaar
Пари Сен-Жермен,Paris Saint-Germain F.C.,Paris Saint-Germain F.C.,ФК Пары Сен-Жэрмен,Парі Сен-Жермен,ФК Пари Сен Жермен,Paris Saint-Germain FC,Paris Saint-Germain Football Club,Paris Saint-Germain Football Club,Paris Saint-Germain FC,Paris Saint-Germain FC
Би-би-си,BBC,BBC,BBC,BBC,Би Би Си,BBC,BBC,BBC,BBC,BBC
АЕЛ ,AEL Limassol,AEL Limassol,ФК АЭЛ Лімасол,АЕЛ ,АЕЛ Лимасол,AEL Limassol,Athlitiki Enosis Lemesou,AEL Limassol FC,AEL ,AEL Limassol
НАТО,NATO,NATO,НАТА,НАТО,НАТО,Severoatlantická aliance,Organització del Tractat de l'Atlàntic Nord,OTAN,NATO,NATO
ЮНЕСКО,UNESCO,UNESCO,ЮНЕСКА,ЮНЕСКО,ЮНЕСКО,UNESCO,UNESCO,Unesco,UNESCO,"Organizacija Združenih narodov za izobraževanje, znanost in kulturo"
Sony,Sony,Sony,Sony,Sony,Сони,Sony,Sony,Sony,Sony,Sony
Warner Bros.,Warner Bros.,Warner Bros.,Warner Brothers,Warner Bros.,Уорнър Брос,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.,Warner Bros.
Isuzu,Isuzu,Isuzu,Isuzu,Isuzu,Исузу,Isuzu,Isuzu,Isuzu,Isuzu,Isuzu
SWIFT,SWIFT,SWIFT,SWIFT,SWIFT,SWIFT ,SWIFT,SWIFT,SWIFT,Bankalararası Finansal Telekomünikasyon Derneği,Združenje za svetovno medbančno finančno telekomunikacijo
Австрийская академия наук,Austrian Academy of Sciences,Austriacka Akademia Nauk,Аўстрыйская акадэмія навук,Австрійська академія наук,Австрийска академия на науките,Rakouská akademie věd,Acadèmia Austríaca de Ciències,Academia Austríaca de Ciencias,Avusturya Bilimler Akademisi,Avstrijska akademija znanosti
Трабзонспор ,Trabzonspor,Trabzonspor,ФК Трабзанспор,Трабзонспор,ФК Трабзонспор,Trabzonspor,Trabzonspor Kulübü,Trabzonspor,Trabzonspor ,Trabzonspor
ФИБА Европа,FIBA Europe,FIBA Europa,ФІБА Еўропа,ФІБА Європа,ФИБА Европа,Evropská basketbalová federace,FIBA Europa,FIBA Europa,FIBA Avrupa,FIBA Evropa
Electronic Arts,Electronic Arts,Electronic Arts,Electronic Arts,Electronic Arts,Електроник Артс,Electronic Arts,Electronic Arts,Electronic Arts,Electronic Arts,Electronic Arts
Европейское сообщество по атомной энергии,European Atomic Energy Community,Europejska Wspólnota Energii Atomowej,Еўрапейская супольнасць па атамнай энергіі,Європейська спільнота з атомної енергії,Европейска общност за атомна енергия,Evropské společenství pro atomovou energii,Comunitat Europea de l'Energia Atòmica,Comunidad Europea de la Energía Atómica,Avrupa Atom Enerjisi Topluluğu,Evropska skupnost za jedrsko energijo
Монпелье ,Montpellier HSC,Montpellier HSC,ФК Манпелье,Монпельє ,Монпелие ЕСК,Montpellier HSC,Montpellier Hérault Sport Club,Montpellier Hérault Sport Club,Montpellier HSC,Montpellier HSC
Стяуа ,FCSB,FCSB,ФК Сцяўа Бухарэст,Стяуа ,ФК ФКСБ,FCSB,FC Steaua Bucureşti,Fotbal Club FCSB,FCSB,FCSB
Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,Парамаунт Пикчърс,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures,Paramount Pictures
Мальмё ,Malmö FF,Malmö FF,ФК Мальмё,Мальме ,Малмьо ФФ,Malmö FF,Malmö FF,Malmö FF,Malmö FF,Malmö FF
Солидарность ,Solidarity ,Niezależny Samorządny Związek Zawodowy „Solidarność”,Салідарнасць ,Солідарність ,Солидарност ,Solidarita ,Solidarność,Solidaridad ,Solidarność,Solidarność
Национальная баскетбольная ассоциация,National Basketball Association,National Basketball Association,Нацыянальная баскетбольная асацыяцыя,Національна баскетбольна асоціація,Национална баскетболна асоциация,National Basketball Association,NBA,National Basketball Association,National Basketball Association,NBA
Ницца ,OGC Nice,OGC Nice,ФК Ніца,Ніцца ,ОЖК Ница,OGC Nice,Olympique Gymnaste Club de Nice-Côte d'Azur,Olympique Gymnaste Club de Niza,OGC Nice,OGC Nice
Валенсия ,Valencia CF,Valencia CF,ФК Валенсія,Валенсія ,Валенсия КФ,Valencia CF,València Club de Futbol,Valencia Club de Fútbol,Valencia CF,Valencia CF
Болонья ,Bologna F.C. 1909,Bologna FC 1909,ФК Балоння,Болонья ,ФК „Болоня“,Bologna FC 1909,Bologna Football Club 1909,Bologna Football Club 1909,Bologna FC 1909,Bologna F.C. 1909
Реал Вальядолид,Real Valladolid,Real Valladolid,ФК Рэал Вальядалід,Реал Вальядолід,Реал Валядолид,Real Valladolid,Real Valladolid Club de Fútbol,Real Valladolid Club de Fútbol,Real Valladolid CF,Real Valladolid
Африканский союз,African Union,Unia Afrykańska,Афрыканскі Саюз,Африканський Союз,Африкански съюз,Africká unie,Unió Africana,Unión Africana,Afrika Birliği,Afriška unija
Национальная библиотека Польши,National Library of Poland,Biblioteka Narodowa ,Нацыянальная бібліятэка Польшчы,Національна бібліотека Польщі,Национална библиотека на Полша,Polská národní knihovna,Biblioteca Nacional de Polònia,Biblioteca Nacional de Polonia,Millî Kütüphane ,Narodna knjižnica 
Кайзерслаутерн ,1. FC Kaiserslautern,1. FC Kaiserslautern,ФК Кайзерслаўтэрн,Кайзерслаутерн ,1. ФК Кайзерслаутерн,1. FC Kaiserslautern,1. Fußball-Club Kaiserslautern,1. FC Kaiserslautern,1. FC Kaiserslautern,1. FC Kaiserslautern
Олимпик Лион,Olympique Lyonnais,Olympique Lyon,ФК Алімпік Ліён,Олімпік ,ФК Олимпик ,Olympique Lyon,Olympique Lyonnais,Olympique de Lyon,Olympique Lyonnais,Olympique Lyonnais
Союз коммунистов Югославии,League of Communists of Yugoslavia,Związek Komunistów Jugosławii,Саюз камуністаў Югаславіі,Союз комуністів Югославії,Съюз на комунистите на Югославия,Svaz komunistů Jugoslávie,Lliga de Comunistes de Iugoslàvia,Liga de los Comunistas de Yugoslavia,Yugoslavya Komünistler Birliği,Zveza komunistov Jugoslavije
Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft,Ubisoft
Международная ассоциация воздушного транспорта,International Air Transport Association,Międzynarodowe Zrzeszenie Przewoźników Powietrznych,Міжнародная асацыяцыя паветранага транспарту,Міжнародна асоціація повітряного транспорту,Международна асоциация за въздушен транспорт,International Air Transport Association,Associació Internacional del Transport Aeri,Asociación Internacional de Transporte Aéreo,Uluslararası Hava Taşımacılığı Birliği,Mednarodno združenje za zračni transport
Немецкий музей ,Deutsches Museum,Muzeum Niemieckie,Нямецкі музей ,Німецький музей,Немски музей,Německé muzeum ,Deutsches Museum,Deutsches Museum,Deutsches Museum,"Nemški muzej, München"
Фонд свободного программного обеспечения,Free Software Foundation,Free Software Foundation,Фонд свабоднага праграмнага забеспячэння,Фонд вільного програмного забезпечення,Фондация за свободен софтуер,Free Software Foundation,Free Software Foundation,Free Software Foundation,Free Software Foundation,Free Software Foundation
Генеральная Ассамблея ООН,United Nations General Assembly,Zgromadzenie Ogólne Organizacji Narodów Zjednoczonych,Генеральная Асамблея ААН,Генеральна Асамблея ООН,Общо събрание на ООН,Valné shromáždění OSN,Assemblea General de les Nacions Unides,Asamblea General de las Naciones Unidas,Birleşmiş Milletler Genel Kurulu,Generalna skupščina ZN
Легия ,Legia Warsaw,Legia Warszawa ,ФК Легія Варшава,Легія ,ФК Легия ,Legia Warszawa,Legia Varsòvia,Legia de Varsovia,Legia Warszawa,Legia Warszawa
Бостон Селтикс,Boston Celtics,Boston Celtics,Бостан Селтыкс,Бостон Селтікс,Бостън Селтикс,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics,Boston Celtics
Эмполи ,Empoli F.C.,Empoli FC,ФК Эмпалі,Емполі ,ФК Емполи,Empoli FC,Empoli Football Club,Empoli Football Club,Empoli FC,Empoli F.C.
Организация американских государств,Organization of American States,Organizacja Państw Amerykańskich,Арганізацыя амерыканскіх дзяржаў,Організація американських держав,Организация на американските държави,Organizace amerických států,Organització dels Estats Americans,Organización de los Estados Americanos,Amerikan Devletleri Örgütü,Organizacija ameriških držav
NASDAQ,Nasdaq,NASDAQ,NASDAQ,NASDAQ,НАСДАК,NASDAQ,NASDAQ,NASDAQ,Nasdaq,NASDAQ
Suzuki,Suzuki,Suzuki,Suzuki,Suzuki Motor Corporation,Сузуки,Suzuki,Suzuki,Suzuki,Suzuki,Suzuki
British Airways,British Airways,British Airways,British Airways,British Airways,Бритиш Еъруейс,British Airways,British Airways,British Airways,British Airways,British Airways
Oracle,Oracle Corporation,Oracle Corporation,Oracle,Oracle Corporation,Оракъл ,Oracle Corporation,Oracle Corporation,Oracle Corporation,Oracle,Oracle Corporation
Adobe,Adobe Inc.,Adobe ,Adobe,Adobe Systems,Adobe,Adobe Systems,Adobe,Adobe ,Adobe,Adobe
IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM,IBM
Национал-социалистическая немецкая рабочая партия,Nazi Party,Narodowosocjalistyczna Niemiecka Partia Robotników,Нацыянал-сацыялістычная нямецкая рабочая партыя,Націонал-соціалістична робітнича партія Німеччини,Националсоциалистическа германска работническа партия,Národně socialistická německá dělnická strana,Partit Nacionalsocialista Alemany dels Treballadors,Partido Nacionalsocialista Obrero Alemán,Nasyonal Sosyalist Alman İşçi Partisi,Nacionalsocialistična nemška delavska stranka
Суонси Сити,Swansea City A.F.C.,Swansea City A.F.C.,ФК Суонсі Сіці,Суонсі Сіті,АФК Суонзи Сити,Swansea City AFC,Swansea City Association Football Club,Swansea City Association Football Club,Swansea City AFC,Swansea City A.F.C.
Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Мерцедес-Бенц,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz,Mercedes-Benz
Кёльн ,1. FC Köln,1. FC Köln,ФК Кёльн,Кельн ,1. ФК Кьолн,1. FC Köln,1. Fußball-Club Köln,F. C. Colonia,1. FC Köln,1. FC Köln
Аугсбург ,FC Augsburg,FC Augsburg,ФК Аўгсбург,Аугсбург ,ФК Аугсбург,FC Augsburg,Fußball-Club Augsburg 1907,F. C. Augsburgo,FC Augsburg,FC Augsburg
Денвер Наггетс,Denver Nuggets,Denver Nuggets,Дэнвер Нагетс,Денвер Наггетс,Денвър Нъгетс,Denver Nuggets,Denver Nuggets,Denver Nuggets,Denver Nuggets,Denver Nuggets
Организация Объединённых Наций,United Nations,Organizacja Narodów Zjednoczonych,Арганізацыя Аб’яднаных Нацый,Організація Об'єднаних Націй,Организация на обединените нации,Organizace spojených národů,Organització de les Nacions Unides,Organización de las Naciones Unidas,Birleşmiş Milletler,Organizacija združenih narodov
Алавес,Deportivo Alavés,Deportivo Alavés,ФК Алавес,Депортіво Алавес,Депортиво Алавес,Deportivo Alavés,Deportivo Alavés,Deportivo Alavés,Deportivo Alavés,Deportivo Alavés
Embraer,Embraer,Embraer,Embraer,Embraer,Ембраер,Embraer,Embraer,Embraer,Embraer,Embraer
Ростов ,FC Rostov,FK Rostów,ФК Растоў,Ростов ,ФК Ростов,FK Rostov,FK Rostov,FK Rostov,FK Rostov,FC Rostov
Сан-Антонио Спёрс,San Antonio Spurs,San Antonio Spurs,Сан-Антоніа Спёрс,Сан-Антоніо Сперс,Сан Антонио Спърс,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs,San Antonio Spurs
Христианско-демократический союз Германии,Christian Democratic Union of Germany,Unia Chrześcijańsko-Demokratyczna ,Хрысціянска-дэмакратычны саюз Германіі,Християнсько-демократичний союз ,Християндемократически съюз,Křesťanskodemokratická unie,Unió Demòcrata Cristiana d'Alemanya,Unión Demócrata Cristiana de Alemania,Almanya Hristiyan Demokrat Birliği,Krščansko demokratska unija
Спортинг ,Sporting de Gijón,Sporting Gijón,ФК Спортынг Хіхон,Спортінг ,Спортинг Хихон,Sporting de Gijón,Real Sporting de Gijón,Real Sporting de Gijón,Real Sporting de Gijón,Sporting de Gijón
Ред Булл ,FC Red Bull Salzburg,Red Bull Salzburg,ФК Рэд Бул Зальцбург,Ред Булл ,ФК Ред Бул Залцбург,FC Red Bull Salzburg,Football Club Red Bull Salzburg,Red Bull Salzburgo,FC Red Bull Salzburg,Red Bull Salzburg
Челси ,Chelsea F.C.,Chelsea F.C.,ФК Чэлсі,Челсі ,ФК Челси,Chelsea FC,Chelsea Football Club,Chelsea Football Club,Chelsea FC,Chelsea F.C.
Чикаго Буллз,Chicago Bulls,Chicago Bulls,Чыкага Булз,Чикаго Буллз,Чикаго Булс,Chicago Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls,Chicago Bulls
Кристал Пэлас ,Crystal Palace F.C.,Crystal Palace F.C.,ФК Крыстал Пэлас,Крістал Пелес ,ФК Кристъл Палас,Crystal Palace FC,Crystal Palace Football Club,Crystal Palace Football Club,Crystal Palace FC,Crystal Palace F.C.
Международная федерация лыжного спорта,International Ski Federation,Międzynarodowa Federacja Narciarska,Міжнародная федэрацыя лыжнага спорту,Міжнародна федерація лижного спорту,Международна федерация по ски,Mezinárodní lyžařská federace,Federació Internacional d'Esquí,Federación Internacional de Esquí,Uluslararası Kayak Federasyonu,Mednarodna smučarska organizacija
Шахтёр ,FC Shakhter Karagandy,Szachtior Karaganda,ФК Шахцёр Караганда,Шахтар ,ФК Шахтьор Караганда,Šachťor Karaganda FK,FK Xakhtar Karaganda,FC Shakhter Karagandá,FK Şahter,FC Šahtjor Karagandi
Нанси ,AS Nancy Lorraine,AS Nancy,ФК Нансі,Нансі ,АС Нанси,AS Nancy,Association Sportive Nancy-Lorraine,Association Sportive Nancy-Lorraine,AS Nancy,AS Nancy
Общество Макса Планка,Max Planck Society,Towarzystwo Maxa Plancka,Таварыства Макса Планка,Товариство імені Макса Планка,Институти Макс Планк,Společnost Maxe Plancka,Societat Max Planck,Sociedad Max Planck,Max Planck Topluluğu,Družba Maxa Plancka
Партия независимости Пуэрто-Рико,Puerto Rican Independence Party,Portorykańska Partia Niepodległości,Партыя незалежнасці Пуэрта-Рыка,Партія незалежності Пуерто-Рико,Пуерториканска партия за независимост,Partido Independentista Puertorriqueño,Partit Independentista Porto-riqueny,Partido Independentista Puertorriqueño,Porto Riko Bağımsızlık Partisi,Portoriška osamosvojitvena stranka
Анже ,Angers SCO,Angers SCO,ФК Анжэ,Анже ,Анже СКУ,Angers SCO,Angers Sporting Club de l'Ouest,Angers Sporting Club Ouest,Angers SCO,Angers SCO
Ferrari,Ferrari,Ferrari,Ferrari,Ferrari,Ферари,Ferrari,Ferrari,Ferrari,Ferrari,Ferrari
Mazda,Mazda,Mazda,Mazda,Mazda,Мазда,Mazda,Mazda,Mazda,Mazda,Mazda
Нюрнберг ,1. FC Nürnberg,1. FC Nürnberg,ФК Нюрнберг,Нюрнберг ,1. ФК Нюрнберг,1. FC Norimberk,1. Fußball-Club Nürnberg VfL,1. F. C. Núremberg,1. FC Nürnberg,1. FC Nürnberg
Майнц 05,1. FSV Mainz 05,1. FSV Mainz 05,ФК Майнц 05,Майнц 05,1. ФШФ Майнц 05,1. FSV Mainz 05,1. Fußball- und Sportverein Mainz 05,1. F.S.V. Mainz 05,1. FSV Mainz 05,1. FSV Mainz 05
Реймс ,Stade de Reims,Stade de Reims,ФК Рэймс,Реймс ,Стад дьо Реймс,Stade Reims,Stade de Reims Champagne,Stade de Reims,Stade de Reims,Stade de Reims
Уиган Атлетик,Wigan Athletic F.C.,Wigan Athletic F.C.,ФК Уіган Атлетык,Віган Атлетік,ФК Уигън Атлетик,Wigan Athletic FC,Wigan Athletic Football Club,Wigan Athletic Football Club,Wigan Athletic FC,Wigan Athletic F.C.
