ru,en,pl,be,uk,bg,cs,ca,es,tr,sl
Лехия ,Lechia Gdańsk,Lechia Gdańsk ,ФК Лехія Гданьск,Лехія ,ФК Лехия ,Lechia Gdańsk,KS Lechia Gdańsk,Lechia Gdańsk,Lechia Gdańsk,Lechia Gdańsk
Миротворческие силы ООН,United Nations peacekeeping,Siły pokojowe ONZ,Міратворчыя сілы ААН,Миротворчі сили ООН,Международни сили на ООН за поддържане на мира,Mírové síly OSN,Cascos Blaus de les Nacions Unides,Fuerzas de paz de las Naciones Unidas,Birleşmiş Milletler Barış Gücü,Mirovne misije OZN
Нью-Йорк Никс,New York Knicks,New York Knicks,Нью-Ёрк Нікс,Нью-Йорк Нікс,Ню Йорк Никс,New York Knicks,New York Knicks,New York Knicks,New York Knicks,New York Knicks
Новодевичий монастырь,Novodevichy Convent,Monaster Nowodziewiczy w Moskwie,Новадзявочы манастыр,Новодівичий монастир,Новодевически манастир,Novoděvičí klášter,Monestir de Novodévitxi,Monasterio de Novodévichi,Novodeviçi Manastırı,Samostan Novodevičji
Карабах ,Qarabağ FK,Qarabağ FK,ФК Карабах Агдам,Карабах ,ФК Карабах,FK Karabach,Qarabağ Futbol Klubu,Qarabağ Futbol Klubu,Karabağ FK,Qarabağ FK
ФИФА,FIFA,FIFA,ФІФА,ФІФА,ФИФА,FIFA,Federació Internacional de Futbol Associació,FIFA,FIFA,FIFA
Санкт-Паули,FC St. Pauli,FC St. Pauli,ФК Санкт-Паўлі,Санкт-Паулі ,ФК Санкт Паули,FC St. Pauli,Fußball-Club Sankt Pauli von 1910,F.C. San Pauli,FC St. Pauli,FC St. Pauli
IKEA,IKEA,IKEA,IKEA,IKEA,ИКЕА,IKEA,Ikea,IKEA,IKEA,IKEA
Adidas,Adidas,Adidas,Adidas,Adidas,Адидас,Adidas,Adidas,Adidas,Adidas,Adidas
Samsung,Samsung,Samsung,Samsung Group,Samsung Group,Самсунг Груп,Samsung,Samsung,Samsung,Samsung,Samsung
Кальяри ,Cagliari Calcio,Cagliari Calcio,ФК Кальяры,Кальярі ,Каляри Калчо,Cagliari Calcio,Cagliari Calcio,Cagliari Calcio,Cagliari Calcio,Cagliari Calcio
Панатинаикос ,Panathinaikos F.C.,Panathinaikos AO,ФК Панатынаікос,Панатінаїкос ,ФК „Панатинайкос“,Panathinaikos Athény ,Panathinaikos FC,Panathinaikos Fútbol Club,Panathinaikos ,Panathinaikos
Коммунистическая партия Китая,Chinese Communist Party,Komunistyczna Partia Chin,Камуністычная партыя Кітая,Комуністична партія Китаю,Китайска комунистическа партия,Komunistická strana Číny,Partit Comunista Xinès,Partido Comunista de China,Çin Komünist Partisi,Komunistična partija Kitajske
Нью-Йорк Янкис,New York Yankees,New York Yankees,Нью-Ёрк Янкіз,Нью-Йорк Янкіз,Ню Йорк Янкис,New York Yankees,New York Yankees,New York Yankees,New York Yankees,New York Yankees
Мец ,FC Metz,FC Metz,ФК Мец,Мец ,ФК Мец,FC Metz,Football Club de Metz,Football Club de Metz,FC Metz,FC Metz
Организация по безопасности и сотрудничеству в Европе,Organization for Security and Co-operation in Europe,Organizacja Bezpieczeństwa i Współpracy w Europie,Арганізацыя па бяспецы і супрацоўніцтве ў Еўропе,Організація з безпеки і співробітництва в Європі,Организация за сигурност и сътрудничество в Европа,Organizace pro bezpečnost a spolupráci v Evropě,Organització per a la Seguretat i la Cooperació a Europa,Organización para la Seguridad y la Cooperación en Europa,Avrupa Güvenlik ve İş Birliği Teşkilatı,Organizacija za varnost in sodelovanje v Evropi
Кьево ,A.C. ChievoVerona,AC ChievoVerona,ФК К’ева,К'єво ,АК Киево,AC ChievoVerona,Associazione Calcio ChievoVerona,Associazione Calcio ChievoVerona,AC ChievoVerona,A.C. Chievo Verona
Менса,Mensa International,Mensa International,Менса,Mensa International,Менса,Mensa International,Mensa International,Mensa ,Mensa,Mensa
Рух ,Ruch Chorzów,Ruch Chorzów,ФК Рух Хожаў,Рух ,ФК Рух,Ruch Chorzów,KS Ruch Chorzów,Ruch Chorzów,KS Ruch Chorzów,Ruch Chorzów
Страсбур ,RC Strasbourg Alsace,RC Strasbourg,ФК Страсбур,Страсбур ,РК Страсбург,RC Strasbourg Alsace,Racing Club de Strasbourg Alsace,Racing Club de Estrasburgo Alsacia,RC Strasbourg Alsace,RC Strasbourg Alsace
20th Century Studios,20th Century Studios,20th Century Studios,20th Century Studios,20th Century Studios,Туентиът Сенчъри Студиос,20th Century Studios,20th Century Studios,20th Century Studios,20th Century Studios,20th Century Studios
Кан ,Stade Malherbe Caen,SM Caen,ФК Кан,Кан ,СМ Кан,SM Caen,Stade Malherbe Caen Calvados Basse-Normandie,Stade Malherbe Caen,SM Caen,Stade Malherbe Caen
Риека ,HNK Rijeka,HNK Rijeka,ФК Рыека,Рієка ,ХФК Риека,HNK Rijeka,HNK Rijeka,HNK Rijeka,HNK Rijeka,HNK Rijeka
Walt Disney Pictures,Walt Disney Pictures,Walt Disney Pictures,Walt Disney Pictures,Walt Disney Pictures,Уолт Дисни Пикчърс,Walt Disney Pictures,Walt Disney Pictures,Walt Disney Pictures,Walt Disney Pictures,Walt Disney Pictures
Перуджа ,A.C. Perugia Calcio,AC Perugia Calcio,ФК Перуджа,Перуджа ,Перуджа Калчо,AC Perugia Calcio,Perugia Calcio,Associazione Calcistica Perugia Calcio,AC Perugia Calcio,Perugia Calcio
Международный суд ООН,International Court of Justice,Międzynarodowy Trybunał Sprawiedliwości,Міжнародны суд ААН,Міжнародний суд,Международен съд на ООН,Mezinárodní soudní dvůr,Tribunal Internacional de Justícia,Corte Internacional de Justicia,Uluslararası Adalet Divanı,Meddržavno sodišče
Ryanair,Ryanair,Ryanair,Ryanair,Ryanair,Райънеър,Ryanair,Ryanair,Ryanair,Ryanair,Ryanair
Секретариат ООН,United Nations Secretariat,Sekretariat Organizacji Narodów Zjednoczonych,Сакратарыят ААН,Секретаріат ООН,Секретариат на ООН,Sekretariát OSN,Secretariat de l'ONU,Secretaría General de las Naciones Unidas,Birleşmiş Milletler Sekreterliği,Sekretariat Združenih narodov
Детройт Ред Уингз,Detroit Red Wings,Detroit Red Wings,Дэтройт Рэд Уінгз,Детройт Ред Вінгз,Детройт Ред Уингс,Detroit Red Wings,Detroit Red Wings,Detroit Red Wings,Detroit Red Wings,Detroit Red Wings
Boeing,Boeing,Boeing,Boeing,Boeing,Боинг,Boeing,Boeing,Boeing,Boeing,Boeing
Интернационале,Inter Milan,Inter Mediolan,ФК Інтэрнацыянале Мілан,Інтернаціонале,ФК „Интер“,FC Inter Milán,FC Inter de Milà,Inter de Milán,FC Internazionale Milano,Football Club Internazionale Milano
Toyota,Toyota,Toyota,Toyota Motor Corporation,Toyota,Тойота,Toyota,Toyota,Toyota,Toyota,Toyota
Ку-клукс-клан,Ku Klux Klan,Ku Klux Klan,Ку-клукс-клан,Ку-клукс-клан,Ку-клукс-клан,Ku-klux-klan,Ku Klux Klan,Ku Klux Klan,Ku Klux Klan,Kukluksklan
United Airlines,United Airlines,United Airlines,United Airlines,United Airlines,Юнайтед Еърлайнс,United Airlines,United Airlines,United Airlines,United Airlines,United Airlines
Галерея Боргезе,Galleria Borghese,Galeria Borghese,Галерэя Баргезэ,Галерея Боргезе,Галерия Боргезе,Galerie Borghese,Galeria Borghese,Galería Borghese,Galleria Borghese,Galerija Borghese
Universal Pictures,Universal Pictures,Universal Pictures,Universal Studios,Universal Pictures,Юнивърсъл Студиос,Universal Studios,Universal Studios,Universal Pictures,Universal Pictures,Universal Studios
Реал Мадрид ,Real Madrid CF,Real Madryt,ФК Рэал Мадрыд,Реал Мадрид,Реал Мадрид КФ,Real Madrid,Reial Madrid Club de Futbol,Real Madrid Club de Fútbol,Real Madrid CF,Real Madrid Club de Fútbol
ФАТХ,Fatah,Al-Fatah,ФАТХ,ФАТХ,Фатах,Fatah,Fatah,Fatah,Fetih ,Fatah
Халл Сити,Hull City A.F.C.,Hull City A.F.C.,ФК Хал Сіці,Галл Сіті,АФК Хъл Сити,Hull City AFC,Hull City Association Football Club,Hull City Association Football Club,Hull City AFC,Hull City A.F.C.
McDonald’s,McDonald's,McDonald’s,McDonald’s,McDonald's,Макдоналдс,McDonald's,McDonald's,McDonald's,McDonald's,McDonald's
Cadillac,Cadillac,Cadillac,Cadillac,Cadillac,Кадилак,Cadillac,Cadillac ,Cadillac,Cadillac,Cadillac
Унион ,1. FC Union Berlin,1. FC Union Berlin,ФК Уніён Берлін,Уніон ,1. ФК Унион ,1. FC Union Berlín,1. Fußballclub Union Berlin,F. C. Unión Berlín,1. FC Union Berlin,1. FC Union Berlin
Bugatti,Bugatti Automobiles,Bugatti Automobiles,Bugatti,Bugatti,Бугати,Bugatti Automobiles,Bugatti,Bugatti,Bugatti,Bugatti
Прогрессивный альянс социалистов и демократов,Progressive Alliance of Socialists and Democrats,Postępowy Sojusz Socjalistów i Demokratów w Parlamencie Europejskim,Прагрэсіўны альянс сацыялістаў і дэмакратаў,Прогресивний альянс соціалістів і демократів,Прогресивен алианс на социалистите и демократите,Pokrokové spojenectví socialistů a demokratů,Aliança Progressista de Socialistes i Demòcrates,Grupo de la Alianza Progresista de Socialistas y Demócratas,Sosyalistler ve Demokratların İlerici İttifakı,Skupina naprednega zavezništva socialistov in demokratov
Европейская южная обсерватория,European Southern Observatory,Europejskie Obserwatorium Południowe,Еўрапейская паўднёвая абсерваторыя,Європейська південна обсерваторія,Европейска южна обсерватория,Evropská jižní observatoř,Observatori Europeu Austral,Observatorio Europeo Austral,Avrupa Güney Rasathanesi,Evropski južni observatorij
Мальорка ,RCD Mallorca,RCD Mallorca,ФК Мальёрка,Мальорка ,РКД Майорка,RCD Mallorca,Reial Club Deportiu Mallorca,Real Club Deportivo Mallorca,RCD Mallorca,RCD Mallorca
Lamborghini,Lamborghini,Lamborghini,Lamborghini,Lamborghini,Ламборгини,Lamborghini,Lamborghini,Lamborghini,Lamborghini,Lamborghini
Hewlett-Packard,Hewlett-Packard,Hewlett-Packard,Hewlett-Packard,Hewlett-Packard,Хюлет-Пакард,Hewlett-Packard,Hewlett-Packard,Hewlett-Packard,Hewlett-Packard,Hewlett-Packard
Депортиво Ла-Корунья,Deportivo de La Coruña,Deportivo La Coruña,ФК Дэпартыва Ла-Карунья,Депортіво ,Депортиво Ла Коруня,Deportivo de La Coruña,Real Club Deportivo de La Coruña,Real Club Deportivo de La Coruña,RC Deportivo de La Coruña,Deportivo de La Coruña
Генгам ,En Avant Guingamp,En Avant Guingamp,ФК Генгам,Генгам ,Ен Аван дьо Гингам,EA Guingamp,En Avant de Guingamp,En Avant de Guingamp,En avant Guingamp,En Avant de Guingamp
Лех ,Lech Poznań,Lech Poznań,ФК Лех Познань,Лех ,ФК Лех ,Lech Poznań,KKS Lech Poznań,Lech Poznań,KKS Lech Poznań,Lech Poznań
Saab AB,Saab AB,Saab Group,SAAB,Saab AB,СААБ ,Saab,Saab,Saab,Saab,Saab
Интернасьонал,Sport Club Internacional,SC Internacional,ФК Інтэрнасьянал,Інтернасьйонал,Спорт Клуб Интернасионал,Sport Club Internacional,Sport Club Internacional,Sport Club Internacional,SC Internacional,Sport Club Internacional
Олимпиакос ,Olympiacos F.C.,Olympiakos SFP,ФК Алімпіякос Пірэй,Олімпіакос ,ФК Олимпиакос,Olympiakos Pireus ,Olympiakos FC,Olympiakos Fútbol Club,Olimpiakos ,Olympiakos
Управление Верховного комиссара ООН по делам беженцев,United Nations High Commissioner for Refugees,Wysoki komisarz Narodów Zjednoczonych do spraw uchodźców,Упраўленне Вярхоўнага камісара Арганізацыі Аб’яднаных Нацый па справах бежанцаў,Управління Верховного комісара ООН у справах біженців,Върховен комисариат на ООН за бежанците,Úřad Vysokého komisaře OSN pro uprchlíky,Alt Comissariat de les Nacions Unides per als Refugiats,Alto Comisionado de las Naciones Unidas para los Refugiados,Birleşmiş Milletler Mülteciler Yüksek Komiserliği,Visoki komisariat Združenih narodov za begunce
Австрийская народная партия,Austrian People's Party,Austriacka Partia Ludowa,Аўстрыйская народная партыя,Австрійська народна партія,Австрийска народна партия,Rakouská lidová strana,Partit Popular d'Àustria,Partido Popular Austríaco,Avusturya Halk Partisi,Avstrijska ljudska stranka
Messerschmitt,Messerschmitt,Messerschmitt,Messerschmitt AG,Messerschmitt,Месершмит,Messerschmitt,Messerschmitt,Messerschmitt,Messerschmitt,Messerschmitt AG
Epic Records,Epic Records,Epic Records,Epic Records,Epic Records,Епик Рекърдс,Epic Records,Epic Records,Epic Records,Epic Records,Epic Records
Alstom,Alstom,Alstom,Alstom,Alstom,Алстом,Alstom,Alstom,Alstom,Alstom,Alstom
КАМАЗ,Kamaz,KAMAZ,КамАЗ,КамАЗ,КАМАЗ,Kamaz,Kamaz,Kamaz,Kamaz,Kamaz
Галатасарай ,Galatasaray S.K. ,Galatasaray SK ,ФК Галатасарай,Галатасарай ,ФК Галатасарай,Galatasaray SK,Galatasaray SK ,Galatasaray Spor Kulübü ,Galatasaray ,Galatasaray
NBC,NBC,NBC,NBC,NBC,Ен Би Си,NBC,NBC,NBC,NBC,NBC
Суд Европейского союза,Court of Justice of the European Union,Trybunał Sprawiedliwości Unii Europejskiej,Суд Еўрапейскага саюза,Суд Європейського Союзу,Съд на Европейския съюз,Soudní dvůr Evropské unie,Tribunal de Justícia de la Unió Europea,Tribunal de Justicia de la Unión Europea,Avrupa Adalet Divanı,Sodišče Evropske unije
Лорьян ,FC Lorient,FC Lorient,ФК Лар’ян,Лор'ян ,ФК Лориан,FC Lorient,Football Club Lorient Bretagne Sud,Football Club Lorient,FC Lorient,FC Lorient
Осиек ,NK Osijek,NK Osijek,ФК Осіек,Осієк ,ФК Осиек,NK Osijek,NK Osijek,Nogometni Klub Osijek,NK Osijek,NK Osijek
Норвич Сити,Norwich City F.C.,Norwich City F.C.,ФК Норвіч Сіці,Норвіч Сіті,ФК Норич Сити,Norwich City FC,Norwich City Football Club,Norwich City Football Club,Norwich City FC,Norwich City F.C.
Amnesty International,Amnesty International,Amnesty International,Amnesty International,Amnesty International,Амнести Интернешънъл,Amnesty International,Amnistia Internacional,Amnistía Internacional,Uluslararası Af Örgütü,Amnesty International
ПАОК ,PAOK FC,PAOK FC,ФК ПАОК,ПАОК ,ФК ПАОК,PAOK Soluň ,PAOK Salònica FC,PAOK de Salónica F. C.,PAOK ,PAOK FC
McDonnell Douglas,McDonnell Douglas,McDonnell Douglas,McDonnell Douglas,McDonnell Douglas,Макдонъл Дъглас,McDonnell Douglas,McDonnell Douglas,McDonnell Douglas,McDonnell Douglas,McDonnell Douglas
Шальке 04,FC Schalke 04,FC Schalke 04,ФК Шальке 04,Шальке 04,ФК Шалке 04,FC Schalke 04,Fußballclub Gelsenkirchen-Schalke 04,FC Schalke 04,FC Schalke 04,FC Schalke 04 Gelsenkirchen
Dodge,Dodge,Dodge,Dodge,Dodge,Додж,Dodge,Dodge ,Dodge,Dodge,Dodge
Домжале ,NK Domžale,NK Domžale,ФК Дамжале,Домжале ,НК Домжале,NK Domžale,Nogometni Klub Domžale,NK Domžale,NK Domžale,Nogometni klub Domžale
Лилль ,Lille OSC,Lille OSC,ФК Ліль,Лілль ,Лил ОСК,Lille OSC,Lille Olympique Sporting Club Métropole,Lille Olympique Sporting Club,Lille OSC,Lille OSC
Торино,Torino F.C.,Torino FC,ФК Тарына,Торіно,ФК Торино,Turín FC,Torino Football Club,Torino Football Club,Torino FC,Torino F.C.
Судува,FK Sūduva,Sūduva Mariampol,ФК Судува Марыямпале,Судува ,ФК Судува,FK Sūduva,FK Sūduva,FK Sūduva,FK Sūduva,FK Sūduva
ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB,ABB
ХИК,Helsingin Jalkapalloklubi,Helsingin Jalkapalloklubi,ФК ХІК Хельсінкі,ГІК ,ХЯК Хелзинки,Helsingin Jalkapalloklubi,Helsingin Jalkapalloklubi,HJK Helsinki,HJK Helsinki,Nogometni klub Helsinki
Шахтёр ,FC Shakhtar Donetsk,Szachtar Donieck,ФК Шахцёр Данецк,Шахтар ,ФК Шахтьор ,FK Šachtar Doněck,FC Xakhtar Donetsk,FK Shajtar Donetsk,FK Şahtar,Šahtar Doneck
Lufthansa,Lufthansa,Lufthansa,Lufthansa,Lufthansa,Луфтханза,Lufthansa,Lufthansa,Lufthansa,Lufthansa,Lufthansa
Народная партия за свободу и демократию,People's Party for Freedom and Democracy,Partia Ludowa na rzecz Wolności i Demokracji,Народная партыя за свабоду і дэмакратыю,Народна партія за свободу і демократію,Народна партия за свобода и демокрация,Lidová strana pro svobodu a demokracii,Partit Popular per la Llibertat i la Democràcia,Partido Popular por la Libertad y la Democracia,Özgürlük ve Demokrasi için Halk Partisi,Ljudska stranka za svobodo in demokracijo
Национальная футбольная лига,National Football League,National Football League,Нацыянальная футбольная ліга,Національна футбольна ліга,Национална футболна лига,National Football League,National Football League,National Football League,National Football League,National Football League
Наполи,S.S.C. Napoli,SSC Napoli,ФК Напалі,Наполі,ССК Наполи,SSC Neapol,Società Sportiva Calcio Napoli,Società Sportiva Calcio Napoli,SSC Napoli,S.S.C. Napoli
Кливленд Кавальерс,Cleveland Cavaliers,Cleveland Cavaliers,Кліўленд Кавальерс,Клівленд Кавальєрс,Кливланд Кавалиърс,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers,Cleveland Cavaliers
Porsche,Porsche,Porsche,Porsche AG,Porsche,Порше,Porsche,Porsche,Porsche,Porsche,Porsche
Партизан ,FK Partizan,FK Partizan,ФК Партызан Бялград,Партизан ,ФК Партизан ,FK Partizan,Fudbalski Klub Partizan,Partizán de Belgrado,FK Partizan,Nogometni klub Partizan
Европейская ассоциация свободной торговли,European Free Trade Association,Europejskie Stowarzyszenie Wolnego Handlu,Еўрапейская асацыяцыя свабоднага гандлю,Європейська асоціація вільної торгівлі,Европейска асоциация за свободна търговия,Evropské sdružení volného obchodu,Associació Europea de Lliure Comerç,Asociación Europea de Libre Comercio,Avrupa Serbest Ticaret Birliği,Evropsko združenje za prosto trgovino
Dell,Dell,Dell,Dell,Dell,Дел,Dell,Dell,Dell,Dell,Dell
Международный валютный фонд,International Monetary Fund,Międzynarodowy Fundusz Walutowy,Міжнародны валютны фонд,Міжнародний валютний фонд,Международен валутен фонд,Mezinárodní měnový fond,Fons Monetari Internacional,Fondo Monetario Internacional,Uluslararası Para Fonu,Mednarodni denarni sklad
Columbia Pictures,Columbia Pictures,Columbia Pictures,Columbia Pictures,Columbia Pictures,Кълъмбия Пикчърс,Columbia Pictures,Columbia Pictures,Columbia Pictures,Columbia Pictures,Columbia Pictures
Лацио ,S.S. Lazio,S.S. Lazio,ФК Лацыа,Лаціо ,СС Лацио,SS Lazio,Società Sportiva Lazio,Società Sportiva Lazio,SS Lazio,S.S. Lazio
Volkswagen ,Volkswagen Group,Volkswagen Group,Volkswagen Group,Volkswagen AG,Фолксваген Груп,Volkswagen Group,Grup Volkswagen,Grupo Volkswagen,Volkswagen AG,Volkswagen Group
Ford,Ford Motor Company,Ford Motor Company,Ford Motor Company,Ford Motor Company,Форд Мотър Къмпани,Ford Motor Company,Ford Motor Company,Ford Motor Company,Ford Motor Company,Ford Motor Company
Эспаньол,RCD Espanyol,RCD Espanyol,ФК Эспаньёл,Еспаньйол,РКД Еспаньол,RCD Espanyol,Reial Club Deportiu Espanyol de Barcelona,Real Club Deportivo Espanyol,RCD Espanyol,RCD Espanyol
Audi,Audi,Audi,Audi,Audi,Ауди,Audi,Audi,Audi,Audi,Audi
Всемирный банк,World Bank,Bank Światowy,Сусветны банк,Світовий банк,Световна банка,Světová banka,Banc Mundial,Banco Mundial,Dünya Bankası,Svetovna banka
Фенербахче ,Fenerbahçe S.K. ,Fenerbahçe SK ,ФК Фенербахчэ,Фенербахче ,Фенербахче,Fenerbahçe SK,Fenerbahçe SK ,Fenerbahçe Spor Kulübü ,Fenerbahçe ,Fenerbahçe SK
Ренн ,Stade Rennais F.C.,Stade Rennais,ФК Рэн,Ренн ,ФК Стад Рене,Stade Rennais FC,Stade Rennais Football Club,Stade Rennes Football Club,Stade Rennais FC,Stade Rennais F.C.
Копер ,FC Koper,FC Koper,ФК Копер,Копер ,ФК Копер,FC Koper,Football Club Koper,Football Club Koper,FC Koper,Nogometni klub Koper
Сент-Этьен ,AS Saint-Étienne,AS Saint-Étienne,ФК Сент-Эцьен,Сент-Етьєн ,АС Сент Етиен,AS Saint-Étienne,Association Sportive de Saint-Étienne Loire,Association Sportive de Saint-Étienne,AS Saint-Étienne,AS Saint-Étienne
Airbus,Airbus,Airbus,Airbus,Airbus,Еърбъс,Airbus,Airbus,Airbus,Airbus,Airbus
Монреаль Канадиенс,Montreal Canadiens,Montreal Canadiens,Манрэаль Канадыенс,Монреаль Канадієнс,Монреал Канейдиънс,Montreal Canadiens,Canadiens de Mont-real,Montreal Canadiens,Montreal Canadiens,Montreal Canadiens
Коммунистическая партия Советского Союза,Communist Party of the Soviet Union,Komunistyczna Partia Związku Radzieckiego,Камуністычная партыя Савецкага Саюза,Комуністична партія Радянського Союзу,Комунистическа партия на Съветския съюз,Komunistická strana Sovětského svazu,Partit Comunista de la Unió Soviètica,Partido Comunista de la Unión Soviética,Sovyetler Birliği Komünist Partisi,Komunistična partija Sovjetske zveze
Гринпис,Greenpeace,Greenpeace,Грынпіс,Грінпіс,Грийнпийс,Greenpeace,Greenpeace,Greenpeace,Greenpeace,Greenpeace
Рома ,A.S. Roma,AS Roma,ФК Рома,Рома ,АС Рома,AS Řím,Associazione Sportiva Roma,Associazione Sportiva Roma,AS Roma,A.S. Roma
Сассуоло ,U.S. Sassuolo Calcio,US Sassuolo Calcio,ФК Сасуола,Сассуоло ,УС Сасуоло Калчо,US Sassuolo Calcio,Unione Sportiva Sassuolo Calcio,Unione Sportiva Sassuolo Calcio,US Sassuolo Calcio,U.S. Sassuolo Calcio
General Motors,General Motors,General Motors,General Motors,General Motors,Дженеръл Мотърс,General Motors,General Motors,General Motors,General Motors,General Motors
Усташи,Ustaše,Ustasze,Усташы,Усташі,Усташи,Ustašovci,Ústaixa,Ustacha,Ustaşa,Ustaši
Международное общество сознания Кришны,International Society for Krishna Consciousness,Międzynarodowe Towarzystwo Świadomości Kryszny,Міжнароднае таварыства свядомасці Крышны,Міжнародне Товариство Свідомості Крішни,Международно общество за Кришна-съзнание,Mezinárodní společnost pro vědomí Kršny,Associació Internacional per a la Consciència de Krixna,Asociación Internacional para la Conciencia de Krishna,Uluslararası Krishna Bilinci Derneği,Hare Krišna
Пергамский музей,Pergamon Museum,Muzeum Pergamońskie,Пергамскі музей,Пергамський музей,Пергамски музей,Pergamonské muzeum,Museu de Pèrgam,Museo de Pérgamo,Bergama Müzesi ,Pergamonski muzej
Гитлерюгенд,Hitler Youth,Hitlerjugend,Гітлерюгенд,Гітлер'югенд,Хитлерюгенд,Hitlerjugend,Joventuts Hitlerianes,Juventudes Hitlerianas,Hitler Gençliği,Hitlerjeva mladina
Лос-Анджелес Лейкерс,Los Angeles Lakers,Los Angeles Lakers,Лос-Анджэлес Лэйкерс,Лос-Анджелес Лейкерс,Лос Анджелис Лейкърс,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers,Los Angeles Lakers
Maybach,Maybach,Mercedes-Maybach,Maybach,Maybach,Майбах,Maybach,Maybach,Maybach,Maybach,Maybach
Эллас Верона,Hellas Verona F.C.,Hellas Verona,ФК Элас Верона,Верона ,ФК Верона,Hellas Verona FC,Hellas Verona Football Club,Hellas Verona Football Club,Hellas Verona FC,Hellas Verona F.C.
Всемирная организация интеллектуальной собственности,World Intellectual Property Organization,Światowa Organizacja Własności Intelektualnej,Сусветная арганізацыя інтэлектуальнай уласнасці,Всесвітня організація інтелектуальної власності,Световна организация за интелектуална собственост,Světová organizace duševního vlastnictví,Organització Mundial de la Propietat Intel·lectual,Organización Mundial de la Propiedad Intelectual,Dünya Fikrî Mülkiyet Örgütü,Svetovna organizacija za intelektualno lastnino
Интерпол,Interpol,Interpol,Інтэрпал,Інтерпол,Интерпол,Interpol,Interpol,Interpol,Interpol,Interpol
Pontiac,Pontiac ,Pontiac,Pontiac,Pontiac,Понтиак,Pontiac ,Pontiac ,Pontiac,Pontiac,Pontiac
